image_path,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
dataset/test_set\bus\300.jpg,0.07485380116646392,0.04561403508581395,0.044695071008993524,0.07364243942883698,0.050835421885930016,0.06979949874395157,0.06382623224461878,0.04106098579611274,0.07827903090734005,0.059273182954917576,0.16491228069486583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23320802004038396
dataset/test_set\bus\301.jpg,0.06842105262872092,0.04452798663138981,0.04766081871145945,0.06883876357273021,0.0494987468651003,0.08788638261955362,0.0998746867126201,0.03659147869521339,0.06144527986376586,0.06094402673095472,0.1578529657411089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2164578111856116
dataset/test_set\bus\302.jpg,0.07660818713130292,0.0512531328299393,0.04991645780910959,0.07330827067362956,0.04720133667304923,0.06712614870229214,0.08157894736501341,0.04365079364897031,0.059022556388512004,0.05467836257081544,0.15409356724502532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24156223892056966
dataset/test_set\bus\303.jpg,0.06741854636309864,0.05522138679802751,0.045989974935422305,0.059565580615724076,0.052130325812358796,0.06908939013913579,0.05977443608772872,0.04076858813530624,0.05488721804282008,0.05438596491000894,0.19206349205546935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24870509606312843
dataset/test_set\bus\304.jpg,0.05133667501874116,0.03930659983127374,0.04047619047449974,0.06349206348941136,0.038554720132057026,0.06612364243666985,0.07017543859355992,0.04653299916263438,0.08078529657139577,0.05405179615480151,0.1743943191238766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27477025896930785
dataset/test_set\bus\305.jpg,0.08304093566904591,0.047243107767450165,0.04415204678178145,0.06386800333901972,0.053132832077981085,0.0694235588943432,0.059106098577313866,0.0480367585610678,0.07034252297116364,0.06482873851024107,0.1493734335777204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24745196323110058
dataset/test_set\bus\306.jpg,0.0680868838735135,0.04452798663138981,0.045405179613809306,0.04928989139309566,0.04607351712422416,0.05747702589567765,0.0556390977420368,0.03771929824403846,0.06240601503498722,0.060776942353351,0.22376775270577412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24883040934633122
dataset/test_set\bus\307.jpg,0.09820384293658296,0.05409356724920244,0.054177109438004294,0.06023391812613893,0.05526315789242844,0.07268170425761564,0.06503759398224572,0.04761904761705852,0.05609857978044701,0.06065162907014822,0.1344611528765889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2414786967317678
dataset/test_set\bus\308.jpg,0.07456140350565742,0.05012531328111423,0.04816207184427059,0.09139515454923161,0.042857142855352665,0.0717627401807952,0.06499582288784478,0.044945697575399096,0.05898078529411108,0.05363408521079223,0.13358395989416944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2649958228794906
dataset/test_set\bus\309.jpg,0.06006683374853522,0.03546365914638832,0.04678362572903995,0.07385129490084164,0.04231411862814059,0.09110275688842512,0.10421888053031667,0.038680033415259815,0.07192982455839891,0.06386800333901972,0.15622389305947268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21549707601439025
